"Brand_Reg","Model_No","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Avg_mode_power","Labelled energy consumption (kWh/year)","SubmitStatus","Product Class","Availability Status","Star2","Star Rating Index","Power supply","Brand_Reg_Upper","screensize_by_inches","Screensize category"
"Kogan","**********85**********","Australia,Fiji,New Zealand","China,Vietnam",215.329,19712.159766,"LCD (LED)","-",280.55,1090,"Approved","Single product class","Available",3.5,3.5055839279471974,"Internal","KOGAN",84.7751968503937,"70+ inch"
"LG","43UT801C0LA","Australia,New Zealand","Indonesia,South Korea",107.987,4982.7128,"LCD (LED)","0.4",73,269,"Approved","Single product class","Available",4,4.045865347808662,"Internal","LG",42.514566929133856,"40 inch"
"LG","43UT801C0SB","Australia,New Zealand","Indonesia,South Korea",107.987,4982.7128,"LCD (LED)","0.4",70,258,"Approved","Single product class","Available",4,4.232972680439712,"Internal","LG",42.514566929133856,"40 inch"
"LG","50UT801C0LA","Australia,New Zealand","Indonesia,South Korea",125.727,6754.5112,"LCD (LED)","0.4",83,305,"Approved","Single product class","Available",4.5,4.699152541308104,"Internal","LG",49.4988188976378,"48 inch"
"LG","50UT801C0SB","Australia,New Zealand","Indonesia,South Korea",125.727,6754.5112,"LCD (LED)","0.4",83,305,"Approved","Single product class","Available",4.5,4.699152541308104,"Internal","LG",49.4988188976378,"48 inch"
"LG","55UT801C0LA","Australia,New Zealand","Indonesia,South Korea",138.783,8230.118400000001,"LCD (LED)","0.4",97,357,"Approved","Single product class","Available",4.5,4.803028047916603,"Internal","LG",54.63897637795275,"50 inch"
"LG","55UT801C0SB","Australia,New Zealand","Indonesia,South Korea",138.783,8230.118400000001,"LCD (LED)","0.4",97,357,"Approved","Single product class","Available",4.5,4.803028047916603,"Internal","LG",54.63897637795275,"50 inch"
"LG","65UT801C0LA","Australia,New Zealand","Indonesia,South Korea",163.897,11477.9975,"LCD (LED)","0.4",120,441,"Approved","Single product class","Available",5,5.246162074252658,"Internal","LG",64.52637795275591,"60 inch"
"LG","65UT801C0SB","Australia,New Zealand","Indonesia,South Korea",163.897,11477.9975,"LCD (LED)","0.4",120,441,"Approved","Single product class","Available",5,5.246162074252658,"Internal","LG",64.52637795275591,"60 inch"
"LG","75UT801C0SB","Australia,New Zealand","Indonesia,South Korea",189.275,15307.5663,"LCD (LED)","0.4",165,605,"Approved","Single product class","Available",5,5.054540009525431,"Internal","LG",74.51771653543307,"70+ inch"
